genome,A_V,B_V,c_V,V_with_c,V_two_cats,V_one_cat
GB_GCA_001316245.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001316265.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001316285.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001316325.1,2.0,1.0,1.0,1.0,1.0,2.0
GB_GCA_001412335.1,3.0,3.0,4.0,3.0,3.0,3.0
GB_GCA_001412355.1,3.0,3.0,3.0,3.0,3.0,3.0
GB_GCA_001412365.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001412425.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001421175.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_001421185.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001437625.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001443005.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001443365.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001443375.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001443485.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001462225.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_001462235.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001462245.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001462345.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001464115.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001465115.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001465345.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001487125.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_001507955.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001508335.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001508835.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001508935.1,1.0,2.0,2.0,1.0,1.0,2.0
GB_GCA_001509095.1,3.0,2.0,2.0,2.0,2.0,3.0
GB_GCA_001509115.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001509345.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001509375.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001510275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512375.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512485.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512505.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512545.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512555.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001512625.1,0.0,1.0,1.0,0.0,0.0,1.0
GB_GCA_001512685.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512695.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_001512745.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512865.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512905.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512915.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512945.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512965.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001512995.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001513045.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001513075.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001513105.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001513145.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001513185.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001513365.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001513395.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001513425.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_001513505.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001515185.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001515205.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001515945.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001515955.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_001516585.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001516765.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001543015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001543395.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563305.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563325.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563335.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563795.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563805.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001563875.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563905.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563915.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563965.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001563995.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001564035.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_001564115.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001564135.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001564145.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001564205.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001564255.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001564275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001564285.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001567105.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001567365.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001570385.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001577215.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001577635.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001578795.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001586785.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001587575.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001587595.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001587675.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001587715.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001593825.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001593855.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001593865.1,1.0,0.0,0.0,0.0,0.0,1.0
GB_GCA_001593875.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001595385.3,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001595885.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001595915.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001595945.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001602645.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001602845.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001602865.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001602885.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_001603005.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001603035.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001603055.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001603075.1,2.0,2.0,3.0,2.0,2.0,2.0
GB_GCA_001603105.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_001603145.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001603165.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_001603185.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001603415.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001603425.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001603455.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001603505.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001603665.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001603955.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001604035.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001604045.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001604065.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001604105.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001604185.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001604215.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001604265.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_001604275.1,2.0,2.0,0.0,0.0,2.0,2.0
GB_GCA_001604325.1,2.0,3.0,1.0,1.0,2.0,3.0
GB_GCA_001604385.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001604405.1,2.0,2.0,0.0,0.0,2.0,2.0
GB_GCA_001618605.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001627235.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001628485.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001629205.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001629235.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001629255.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001640045.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_001657315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001657325.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001698435.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001698445.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001709035.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001714685.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001717015.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_001717025.1,2.0,1.0,1.0,1.0,1.0,2.0
GB_GCA_001717035.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001723765.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001723835.1,2.0,0.0,2.0,0.0,0.0,2.0
GB_GCA_001723845.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001723855.1,0.0,1.0,1.0,0.0,0.0,1.0
GB_GCA_001724275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001725215.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001742785.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001751015.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001761425.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001766815.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001766825.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001767525.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001768235.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001768325.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001768565.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001768645.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_001768735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001768965.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001769005.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001769195.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001769975.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001770015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001770165.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001771505.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001771535.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001771545.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_001771575.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001771585.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001771615.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_001771735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001773955.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001774505.1,0.0,1.0,1.0,0.0,0.0,1.0
GB_GCA_001775955.1,3.0,2.0,2.0,2.0,2.0,3.0
GB_GCA_001775995.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_001776015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001777915.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_001778455.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001780285.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001783275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001783695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001783715.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001784175.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001785115.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001786805.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001787475.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001787855.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001788925.1,0.0,1.0,1.0,0.0,0.0,1.0
GB_GCA_001788955.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001789205.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001794905.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001794935.1,2.0,0.0,1.0,0.0,0.0,2.0
GB_GCA_001794945.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001795535.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001796155.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001796285.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001796315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001796415.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001796515.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001796785.1,1.0,1.0,1.0,1.0,1.0,1.0
